# Total Phase Data Center(tm) v6.61
# (c) 2005-2013 Total Phase, Inc.
# www.totalphase.com
#
# Fri Nov 21 12:41:12 2014
#
# Level,Ch,Index,m:s.ms.us,Len,Err,Bitrate,ID,Record,DLC,Data
0,A,81,0:12.736.991,1 B,,250 KHz,002,Data Frame,1,4C
0,A,82,0:12.737.223,1 B,,250 KHz,002,Data Frame,1,4D
0,A,83,0:12.737.456,1 B,,250 KHz,002,Data Frame,1,4E
0,A,84,0:12.737.696,1 B,,250 KHz,002,Data Frame,1,4F
0,A,85,0:12.737.932,1 B,,250 KHz,002,Data Frame,1,50
0,A,86,0:12.738.168,1 B,,250 KHz,002,Data Frame,1,51
0,A,87,0:12.738.401,1 B,,250 KHz,002,Data Frame,1,52
0,A,88,0:12.738.633,1 B,,250 KHz,002,Data Frame,1,53
0,A,89,0:12.738.865,1 B,,250 KHz,002,Data Frame,1,54
0,A,90,0:12.739.097,1 B,,250 KHz,002,Data Frame,1,55
0,A,91,0:12.739.397,1 B,,250 KHz,002,Data Frame,1,56
0,A,92,0:12.739.630,1 B,,250 KHz,002,Data Frame,1,57
0,A,93,0:12.739.870,1 B,,250 KHz,002,Data Frame,1,58
0,A,94,0:12.740.106,1 B,,250 KHz,002,Data Frame,1,59
0,A,95,0:12.740.338,1 B,,250 KHz,002,Data Frame,1,5A
0,A,96,0:12.740.571,1 B,,250 KHz,002,Data Frame,1,5B
0,A,97,0:12.740.803,1 B,,250 KHz,002,Data Frame,1,5C
0,A,98,0:12.741.039,1 B,,250 KHz,002,Data Frame,1,5D
0,A,99,0:12.741.275,1 B,,250 KHz,002,Data Frame,1,5E
0,A,100,0:12.741.512,1 B,,250 KHz,002,Data Frame,1,5F
0,A,101,0:12.741.748,1 B,,250 KHz,002,Data Frame,1,60
0,A,102,0:12.741.984,1 B,,250 KHz,002,Data Frame,1,61
0,A,103,0:12.742.216,1 B,,250 KHz,002,Data Frame,1,62
0,A,104,0:12.742.452,1 B,,250 KHz,002,Data Frame,1,63
0,A,105,0:12.742.689,1 B,,250 KHz,002,Data Frame,1,64
0,A,106,0:12.742.925,1 B,,250 KHz,002,Data Frame,1,65
0,A,107,0:12.743.213,1 B,,250 KHz,002,Data Frame,1,66
0,A,108,0:12.743.445,1 B,,250 KHz,002,Data Frame,1,67
0,A,109,0:12.743.678,1 B,,250 KHz,002,Data Frame,1,68
0,A,110,0:12.743.910,1 B,,250 KHz,002,Data Frame,1,69
0,A,111,0:12.744.142,1 B,,250 KHz,002,Data Frame,1,6A
0,A,112,0:12.744.378,1 B,,250 KHz,002,Data Frame,1,6B
0,A,113,0:12.744.615,1 B,,250 KHz,002,Data Frame,1,6C
0,A,114,0:12.744.847,1 B,,250 KHz,002,Data Frame,1,6D
0,A,115,0:12.745.083,1 B,,250 KHz,002,Data Frame,1,6E
0,A,116,0:12.745.315,1 B,,250 KHz,002,Data Frame,1,6F
0,A,117,0:12.745.551,1 B,,250 KHz,002,Data Frame,1,70
0,A,118,0:12.745.784,1 B,,250 KHz,002,Data Frame,1,71
0,A,119,0:12.746.024,1 B,,250 KHz,002,Data Frame,1,72
0,A,120,0:12.746.260,1 B,,250 KHz,002,Data Frame,1,73
0,A,121,0:12.746.496,1 B,,250 KHz,002,Data Frame,1,74
0,A,122,0:12.746.733,1 B,,250 KHz,002,Data Frame,1,75
0,A,123,0:12.747.185,1 B,,250 KHz,002,Data Frame,1,76
0,A,124,0:12.747.421,1 B,,250 KHz,002,Data Frame,1,77
0,A,125,0:12.747.653,1 B,,250 KHz,002,Data Frame,1,78
0,A,126,0:12.747.890,1 B,,250 KHz,002,Data Frame,1,79
0,A,127,0:12.748.126,1 B,,250 KHz,002,Data Frame,1,7A
0,A,128,0:12.748.358,1 B,,250 KHz,002,Data Frame,1,7B
0,A,129,0:12.748.598,1 B,,250 KHz,002,Data Frame,1,7C
0,A,130,0:12.748.842,1 B,,250 KHz,002,Data Frame,1,7D
0,A,131,0:12.749.079,1 B,,250 KHz,002,Data Frame,1,7E
0,A,132,0:12.749.315,1 B,,250 KHz,002,Data Frame,1,7F
0,A,133,0:12.769.074,1 B,,250 KHz,002,Data Frame,1,80
0,A,134,0:12.769.310,1 B,,250 KHz,002,Data Frame,1,81
0,A,135,0:12.769.546,1 B,,250 KHz,002,Data Frame,1,82
0,A,136,0:12.769.782,1 B,,250 KHz,002,Data Frame,1,83
0,A,137,0:12.770.015,1 B,,250 KHz,002,Data Frame,1,84
0,A,138,0:12.770.247,1 B,,250 KHz,002,Data Frame,1,85
0,A,139,0:12.770.591,1 B,,250 KHz,002,Data Frame,1,86
0,A,140,0:12.770.823,1 B,,250 KHz,002,Data Frame,1,87
0,A,141,0:12.771.055,1 B,,250 KHz,002,Data Frame,1,88
0,A,142,0:12.771.292,1 B,,250 KHz,002,Data Frame,1,89
0,A,143,0:12.771.524,1 B,,250 KHz,002,Data Frame,1,8A
0,A,144,0:12.771.756,1 B,,250 KHz,002,Data Frame,1,8B
0,A,145,0:12.771.988,1 B,,250 KHz,002,Data Frame,1,8C
0,A,146,0:12.772.225,1 B,,250 KHz,002,Data Frame,1,8D
0,A,147,0:12.772.457,1 B,,250 KHz,002,Data Frame,1,8E
0,A,148,0:12.772.689,1 B,,250 KHz,002,Data Frame,1,8F
0,A,149,0:12.775.161,1 B,,250 KHz,002,Data Frame,1,90
0,A,150,0:12.775.397,1 B,,250 KHz,002,Data Frame,1,91
0,A,151,0:12.775.630,1 B,,250 KHz,002,Data Frame,1,92
0,A,152,0:12.775.862,1 B,,250 KHz,002,Data Frame,1,93
0,A,153,0:12.776.094,1 B,,250 KHz,002,Data Frame,1,94
0,A,154,0:12.776.330,1 B,,250 KHz,002,Data Frame,1,95
0,A,155,0:12.776.635,1 B,,250 KHz,002,Data Frame,1,96
0,A,156,0:12.776.871,1 B,,250 KHz,002,Data Frame,1,97
0,A,157,0:12.777.107,1 B,,250 KHz,002,Data Frame,1,98
0,A,158,0:12.777.339,1 B,,250 KHz,002,Data Frame,1,99
0,A,159,0:12.778.851,1 B,,250 KHz,002,Data Frame,1,9A
0,A,160,0:12.779.088,1 B,,250 KHz,002,Data Frame,1,9B
0,A,161,0:12.779.324,1 B,,250 KHz,002,Data Frame,1,9C
0,A,162,0:12.779.556,1 B,,250 KHz,002,Data Frame,1,9D
0,A,163,0:12.779.788,1 B,,250 KHz,002,Data Frame,1,9E
0,A,164,0:12.780.025,1 B,,250 KHz,002,Data Frame,1,9F
0,A,165,0:12.780.261,1 B,,250 KHz,002,Data Frame,1,A0
0,A,166,0:12.780.493,1 B,,250 KHz,002,Data Frame,1,A1
0,A,167,0:12.780.729,1 B,,250 KHz,002,Data Frame,1,A2
0,A,168,0:12.780.961,1 B,,250 KHz,002,Data Frame,1,A3
0,A,169,0:12.781.198,1 B,,250 KHz,002,Data Frame,1,A4
0,A,170,0:12.781.434,1 B,,250 KHz,002,Data Frame,1,A5
0,A,171,0:12.781.726,1 B,,250 KHz,002,Data Frame,1,A6
0,A,172,0:12.781.958,1 B,,250 KHz,002,Data Frame,1,A7
0,A,173,0:12.782.191,1 B,,250 KHz,002,Data Frame,1,A8
0,A,174,0:12.782.427,1 B,,250 KHz,002,Data Frame,1,A9
0,A,175,0:12.782.659,1 B,,250 KHz,002,Data Frame,1,AA
0,A,176,0:12.782.891,1 B,,250 KHz,002,Data Frame,1,AB
0,A,177,0:12.783.124,1 B,,250 KHz,002,Data Frame,1,AC
0,A,178,0:12.783.356,1 B,,250 KHz,002,Data Frame,1,AD
0,A,179,0:12.783.588,1 B,,250 KHz,002,Data Frame,1,AE
0,A,180,0:12.783.824,1 B,,250 KHz,002,Data Frame,1,AF
0,A,181,0:12.784.060,1 B,,250 KHz,002,Data Frame,1,B0
0,A,182,0:12.784.297,1 B,,250 KHz,002,Data Frame,1,B1
0,A,183,0:12.784.529,1 B,,250 KHz,002,Data Frame,1,B2
0,A,184,0:12.784.761,1 B,,250 KHz,002,Data Frame,1,B3
0,A,185,0:12.784.993,1 B,,250 KHz,002,Data Frame,1,B4
0,A,186,0:12.785.230,1 B,,250 KHz,002,Data Frame,1,B5
0,A,187,0:12.785.538,1 B,,250 KHz,002,Data Frame,1,B6
0,A,188,0:12.785.770,1 B,,250 KHz,002,Data Frame,1,B7
0,A,189,0:12.786.010,1 B,,250 KHz,002,Data Frame,1,B8
0,A,190,0:12.786.247,1 B,,250 KHz,002,Data Frame,1,B9
0,A,191,0:12.786.479,1 B,,250 KHz,002,Data Frame,1,BA
0,A,192,0:12.786.715,1 B,,250 KHz,002,Data Frame,1,BB
0,A,193,0:12.786.947,1 B,,250 KHz,002,Data Frame,1,BC
0,A,194,0:12.787.179,1 B,,250 KHz,002,Data Frame,1,BD
0,A,195,0:12.787.424,1 B,,250 KHz,002,Data Frame,1,BE
0,A,196,0:12.787.660,1 B,,250 KHz,002,Data Frame,1,BF
0,A,197,0:12.797.595,1 B,,250 KHz,002,Data Frame,1,C0
0,A,198,0:12.797.840,1 B,,250 KHz,002,Data Frame,1,C1
